Año;Mes;Fecha;Dengue;ENOS C;ENOS;Añomes;No. Mes;Temperatura Máxima;Temperatura mínima;Temperatura promedio;Casos leptospirosis;Lluvia Acumulada;Temporada *;Casos ESI-IRAG;FRM;Familias Afectadas;Inundaciones;Encharcamiento;Damnificados inundaciones;Damnificados encharcamientos;Clasificación ONI
2011;Dic;jueves, 1 de diciembre de 2011;41;Niña;-1;2011Dic;36;24;6.5;14.27;1;1323;Lluvioso;129;236;898;7;308;0;21344;NIÑA MODERADO
2012;Ene;domingo, 1 de enero de 2012;153;Niña;-0.8;2012Ene;37;24.3;4.2;14.29;1;690.9;Lluvioso;85;15;16;1;77;0;2;NIÑA DÉBIL
2012;Feb;miércoles, 1 de febrero de 2012;43;Niña;-0.6;2012Feb;38;24.2;4.2;14;2;1178.7;Lluvioso;201;11;15;1;187;0;16;NIÑA DÉBIL
2012;Mar;jueves, 1 de marzo de 2012;42;Niña;-0.5;2012Mar;39;23.9;6.7;14.1;1;985.6;Lluvioso;334;24;45;1;95;0;24;NIÑA DÉBIL
2012;Abr;domingo, 1 de abril de 2012;67;Neutro;-0.4;2012Abr;40;23.2;7.2;13.95;1;1434.2;Lluvioso;310;84;274;2;253;202;134;NEUTRO
2012;May;martes, 1 de mayo de 2012;46;Neutro;-0.2;2012May;41;23.2;6.5;14.4;3;287.6;Menos lluvioso;249;7;29;0;3;0;0;NEUTRO
2012;Jun;viernes, 1 de junio de 2012;65;Neutro;0.1;2012Jun;42;23.2;4.9;14.22;0;270.7;Menos lluvioso;126;8;5;0;0;0;0;NEUTRO
2012;Jul;domingo, 1 de julio de 2012;110;Neutro;0.3;2012Jul;43;21.3;6.6;13.7;2;430.5;Menos lluvioso;72;7;4;0;8;0;7;NEUTRO
2012;Ago;miércoles, 1 de agosto de 2012;50;Neutro;0.3;2012Ago;44;22.4;7.3;13.74;2;429.3;Menos lluvioso;71;6;9;0;15;0;11;NEUTRO
2012;Sep;sábado, 1 de septiembre de 2012;63;Neutro;0.3;2012Sep;45;26.3;4.6;13.95;0;257.3;Menos lluvioso;99;5;2;2;7;0;0;NEUTRO
2012;Oct;lunes, 1 de octubre de 2012;56;Neutro;0.2;2012Oct;46;26.4;5.2;14.41;1;1069.6;Lluvioso;90;24;20;1;46;0;0;NEUTRO
2012;Nov;jueves, 1 de noviembre de 2012;78;Neutro;0;2012Nov;47;24.7;2.9;14.4;0;537;Lluvioso;106;11;29;1;46;0;8;NEUTRO
2012;Dic;sábado, 1 de diciembre de 2012;127;Neutro;-0.2;2012Dic;48;24.8;3.6;14.04;0;548.1;Lluvioso;70;2;0;0;16;0;5;NEUTRO
2013;Ene;martes, 1 de enero de 2013;573;Neutro;-0.4;2013Ene;49;25.1;2.5;14.46;2;79.2;Menos lluvioso;31;2;50;0;0;0;0;NEUTRO
2013;Feb;viernes, 1 de febrero de 2013;148;Neutro;-0.3;2013Feb;50;24.3;5.4;14.35;2;882.2;Lluvioso;57;5;13;2;8;13;2;NEUTRO
2013;Mar;viernes, 1 de marzo de 2013;212;Neutro;-0.2;2013Mar;51;25.5;4.1;14.84;4;500;Lluvioso;125;9;8;0;21;0;0;NEUTRO
2013;Abr;lunes, 1 de abril de 2013;255;Neutro;-0.2;2013Abr;52;25.8;5.2;14.91;1;1444.6;Lluvioso;177;16;17;1;25;0;0;NEUTRO
2013;May;miércoles, 1 de mayo de 2013;169;Neutro;-0.3;2013May;53;24.8;6.7;14.61;2;1025.5;Lluvioso;179;6;2;0;7;0;0;NEUTRO
2013;Jun;sábado, 1 de junio de 2013;238;Neutro;-0.3;2013Jun;54;23.3;6.5;14.48;1;205.6;Menos lluvioso;133;2;2;0;1;0;0;NEUTRO
2013;Jul;lunes, 1 de julio de 2013;337;Neutro;-0.4;2013Jul;55;23.3;5.4;13.59;3;296.3;Menos lluvioso;58;5;0;0;0;0;0;NEUTRO
2013;Ago;jueves, 1 de agosto de 2013;191;Neutro;-0.4;2013Ago;56;24.3;6.7;13.94;1;453.3;Menos lluvioso;71;2;1;0;0;0;0;NEUTRO
2013;Sep;domingo, 1 de septiembre de 2013;103;Neutro;-0.3;2013Sep;57;23.7;4;14.3;0;301.5;Menos lluvioso;39;3;2;0;2;0;0;NEUTRO
2013;Oct;martes, 1 de octubre de 2013;147;Neutro;-0.2;2013Oct;58;24.3;4.3;14.03;4;776.4;Lluvioso;75;7;26;2;12;13;1;NEUTRO
2013;Nov;viernes, 1 de noviembre de 2013;114;Neutro;-0.2;2013Nov;59;24.6;5.3;13.98;2;1363;Lluvioso;81;12;6;2;4;0;0;NEUTRO
2013;Dic;domingo, 1 de diciembre de 2013;129;Neutro;-0.3;2013Dic;60;24.4;4.7;14.04;1;758;Lluvioso;69;11;4;4;1;0;0;NEUTRO
2014;Ene;miércoles, 1 de enero de 2014;513;Neutro;-0.4;2014Ene;61;24.7;3.3;14.31;8;382.1;Menos lluvioso;47;2;1;0;1;0;0;NEUTRO
2014;Feb;sábado, 1 de febrero de 2014;124;Neutro;-0.4;2014Feb;62;24.3;5.3;14.52;3;658.7;Lluvioso;96;2;6;0;0;0;0;NEUTRO
2014;Mar;sábado, 1 de marzo de 2014;127;Neutro;-0.2;2014Mar;63;25.6;5.2;14.67;3;959.6;Lluvioso;167;7;5;0;1;0;0;NEUTRO
2014;Abr;martes, 1 de abril de 2014;206;Neutro;0.1;2014Abr;64;24.2;6.2;14.71;2;619.3;Lluvioso;140;3;1;1;2;0;0;NEUTRO
2014;May;jueves, 1 de mayo de 2014;107;Neutro;0.3;2014May;65;24.4;4.6;14.76;4;792;Lluvioso;127;2;0;0;0;0;0;NEUTRO
2014;Jun;domingo, 1 de junio de 2014;124;Neutro;0.2;2014Jun;66;22.3;6.1;14.23;4;383.7;Menos lluvioso;94;14;9;3;2;12;11;NEUTRO
2014;Jul;martes, 1 de julio de 2014;195;Neutro;0.1;2014Jul;67;23;6.5;14.04;5;550.9;Menos lluvioso;57;16;5;0;0;0;0;NEUTRO
2014;Ago;viernes, 1 de agosto de 2014;100;Neutro;0;2014Ago;68;22.6;3.3;13.66;5;789.6;Menos lluvioso;58;6;0;1;0;0;0;NEUTRO
2014;Sep;lunes, 1 de septiembre de 2014;94;Neutro;0.2;2014Sep;69;24.7;5.2;14.12;4;11;Menos lluvioso;57;4;2;1;1;0;0;NEUTRO
2014;Oct;miércoles, 1 de octubre de 2014;180;Neutro;0.4;2014Oct;70;23.8;5.9;14.3;1;950.2;Lluvioso;41;4;1;2;11;0;0;NEUTRO
2014;Nov;sábado, 1 de noviembre de 2014;155;Niño;0.6;2014Nov;71;24.6;6;14.36;6;1110.1;Lluvioso;60;10;7;8;1;8;0;NIÑO DÉBIL
