Año;Mes;Fecha;Dengue;ENOS C;ENOS;Añomes;No. Mes;Temperatura Máxima;Temperatura mínima;Temperatura promedio;Casos leptospirosis;Lluvia Acumulada;Temporada *;Casos ESI-IRAG;FRM;Familias Afectadas;Inundaciones;Encharcamiento;Damnificados inundaciones;Damnificados encharcamientos;Clasificación ONI
2021;Feb;lunes, 1 de febrero de 2021;29;Niña;-0.9;2021Feb;146;26.8;4;15.18;6;549.1;Menos lluvioso;63;2;1;0;5;0;3;NIÑA DÉBIL
2021;Mar;lunes, 1 de marzo de 2021;25;Niña;-0.8;2021Mar;147;26.3;6.5;14.21;8;1310.3;Lluvioso;113;8;9;0;15;0;0;NIÑA DÉBIL
2021;Abr;jueves, 1 de abril de 2021;22;Niña;-0.7;2021Abr;148;26.5;4.9;15.25;7;1061.7;Lluvioso;143;16;22;0;5;0;0;NIÑA DÉBIL
2021;May;sábado, 1 de mayo de 2021;15;Niña;-0.5;2021May;149;27.1;6.8;15.11;8;1692;Lluvioso;154;61;85;0;11;0;8;NIÑA DÉBIL
2021;Jun;martes, 1 de junio de 2021;22;Neutro;-0.4;2021Jun;150;26;5.9;14.59;4;1491.4;Lluvioso;205;49;97;0;22;0;4;NEUTRO
2021;Jul;jueves, 1 de julio de 2021;20;Neutro;-0.4;2021Jul;151;25.3;7.4;14.5;5;104.8;Menos lluvioso;167;25;12;0;7;0;0;NEUTRO
2021;Ago;domingo, 1 de agosto de 2021;40;Niña;-0.5;2021Ago;152;26.4;6.6;14.52;8;282.2;Lluvioso;170;16;12;0;13;0;7;NIÑA DÉBIL
2021;Sep;miércoles, 1 de septiembre de 2021;31;Niña;-0.7;2021Sep;153;26.1;3.9;14.47;12;127.6;Menos lluvioso;181;9;4;0;3;0;0;NIÑA DÉBIL
2021;Oct;viernes, 1 de octubre de 2021;29;Niña;-0.8;2021Oct;154;26.4;4.9;14.9;16;498.8;Lluvioso;170;25;58;1;38;7;38;NIÑA DÉBIL
2021;Nov;lunes, 1 de noviembre de 2021;53;Niña;-1;2021Nov;155;26.3;4.4;14.82;9;305;Lluvioso;151;21;182;0;40;0;10;NIÑA MODERADO
2021;Dic;miércoles, 1 de diciembre de 2021;36;Niña;-1;2021Dic;156;26.6;3.5;15.49;13;95.5;Menos lluvioso;105;8;27;0;0;0;0;NIÑA MODERADO
2022;Ene;sábado, 1 de enero de 2022;44;Niña;-1;2022Ene;157;26.4;3.5;14.94;9;233.6;Lluvioso;81;1;0;0;6;0;0;NIÑA MODERADO
